"","GOID","TERM"
"123","GO:0000171","ribonuclease MRP activity"
"124","GO:0000172","ribonuclease MRP complex"
"125","GO:0000173","inactivation of MAPK activity involved in osmosensory signaling pathway"
"126","GO:0000175","3'-5'-exoribonuclease activity"
"127","GO:0000176","nuclear exosome (RNase complex)"
"128","GO:0000177","cytoplasmic exosome (RNase complex)"
"129","GO:0000178","exosome (RNase complex)"
"130","GO:0000179","rRNA (adenine-N6,N6-)-dimethyltransferase activity"
"131","GO:0000182","rDNA binding"
"132","GO:0000183","rDNA heterochromatin assembly"
"133","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
"134","GO:0000185","activation of MAPKKK activity"
"135","GO:0000186","activation of MAPKK activity"
"136","GO:0000187","activation of MAPK activity"
"137","GO:0000188","inactivation of MAPK activity"
"138","GO:0000196","cell wall integrity MAPK cascade"
"139","GO:0000197","activation of MAPKKK activity involved in cell wall organization or biogenesis"
"140","GO:0000198","activation of MAPKK activity involved in cell wall organization or biogenesis"
"141","GO:0000199","activation of MAPK activity involved in cell wall organization or biogenesis"
"142","GO:0000200","inactivation of MAPK activity involved in cell wall organization or biogenesis"
"143","GO:0000209","protein polyubiquitination"
"144","GO:0000210","NAD+ diphosphatase activity"
"145","GO:0000212","meiotic spindle organization"
"146","GO:0000213","tRNA-intron endonuclease activity"
"147","GO:0000214","tRNA-intron endonuclease complex"
"148","GO:0000215","tRNA 2'-phosphotransferase activity"
"149","GO:0000217","DNA secondary structure binding"
"150","GO:0000220","vacuolar proton-transporting V-type ATPase, V0 domain"
"151","GO:0000221","vacuolar proton-transporting V-type ATPase, V1 domain"
"152","GO:0000222","plasma membrane proton-transporting V-type ATPase, V0 domain"
"153","GO:0000223","plasma membrane proton-transporting V-type ATPase, V1 domain"
"154","GO:0000224","peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity"
"155","GO:0000225","N-acetylglucosaminylphosphatidylinositol deacetylase activity"
"156","GO:0000226","microtubule cytoskeleton organization"
"157","GO:0000227","oxaloacetate secondary active transmembrane transporter activity"
"158","GO:0000228","nuclear chromosome"
"159","GO:0000229","cytoplasmic chromosome"
"160","GO:0000234","phosphoethanolamine N-methyltransferase activity"
"161","GO:0000235","astral microtubule"
"162","GO:0000236","mitotic prometaphase"
"163","GO:0000237","leptotene"
"164","GO:0000238","zygotene"
"165","GO:0000239","pachytene"
"166","GO:0000240","diplotene"
"167","GO:0000241","diakinesis"
"168","GO:0000242","pericentriolar material"
"169","GO:0000243","commitment complex"
"170","GO:0000244","spliceosomal tri-snRNP complex assembly"
"171","GO:0000245","spliceosomal complex assembly"
"172","GO:0000246","delta24(24-1) sterol reductase activity"
"173","GO:0000247","C-8 sterol isomerase activity"
"174","GO:0000248","C-5 sterol desaturase activity"
"175","GO:0000249","C-22 sterol desaturase activity"
"176","GO:0000250","lanosterol synthase activity"
"177","GO:0000252","C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity"
"178","GO:0000253","3-keto sterol reductase activity"
"179","GO:0000254","C-4 methylsterol oxidase activity"
"180","GO:0000255","allantoin metabolic process"
"181","GO:0000256","allantoin catabolic process"
"182","GO:0000257","nitrilase activity"
"183","GO:0000262","mitochondrial chromosome"
"184","GO:0000266","mitochondrial fission"
"185","GO:0000268","peroxisome targeting sequence binding"
"186","GO:0000269","toxin export channel activity"
"187","GO:0000270","peptidoglycan metabolic process"
"188","GO:0000271","polysaccharide biosynthetic process"
"189","GO:0000272","polysaccharide catabolic process"
"190","GO:0000274","mitochondrial proton-transporting ATP synthase, stator stalk"
"191","GO:0000275","mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)"
"192","GO:0000276","mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"
"193","GO:0000277","[cytochrome c]-lysine N-methyltransferase activity"
"194","GO:0000278","mitotic cell cycle"
"195","GO:0000279","M phase"
"196","GO:0000280","nuclear division"
"197","GO:0000281","mitotic cytokinesis"
"198","GO:0000282","cellular bud site selection"
"199","GO:0000285","1-phosphatidylinositol-3-phosphate 5-kinase activity"
"200","GO:0000286","alanine dehydrogenase activity"
"201","GO:0000287","magnesium ion binding"
"202","GO:0000288","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"
"203","GO:0000289","nuclear-transcribed mRNA poly(A) tail shortening"
"204","GO:0000290","deadenylation-dependent decapping of nuclear-transcribed mRNA"
"205","GO:0000291","nuclear-transcribed mRNA catabolic process, exonucleolytic"
"206","GO:0000292","RNA fragment catabolic process"
"207","GO:0000293","ferric-chelate reductase activity"
"208","GO:0000294","nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay"
"209","GO:0000295","adenine nucleotide transmembrane transporter activity"
"210","GO:0000296","spermine transport"
"211","GO:0000297","spermine transmembrane transporter activity"
"212","GO:0000298","endopolyphosphatase activity"
"213","GO:0000301","retrograde transport, vesicle recycling within Golgi"
"214","GO:0000302","response to reactive oxygen species"
"215","GO:0000303","response to superoxide"
"216","GO:0000304","response to singlet oxygen"
"217","GO:0000305","response to oxygen radical"
"218","GO:0000306","extrinsic component of vacuolar membrane"
"219","GO:0000307","cyclin-dependent protein kinase holoenzyme complex"
"220","GO:0000308","cytoplasmic cyclin-dependent protein kinase holoenzyme complex"
"221","GO:0000309","nicotinamide-nucleotide adenylyltransferase activity"
"222","GO:0000310","xanthine phosphoribosyltransferase activity"
"223","GO:0000311","plastid large ribosomal subunit"
"224","GO:0000312","plastid small ribosomal subunit"
"225","GO:0000313","organellar ribosome"
"226","GO:0000314","organellar small ribosomal subunit"
"227","GO:0000315","organellar large ribosomal subunit"
"228","GO:0000316","sulfite transport"
"229","GO:0000319","sulfite transmembrane transporter activity"
"230","GO:0000320","re-entry into mitotic cell cycle"
"231","GO:0000321","re-entry into mitotic cell cycle after pheromone arrest"
"232","GO:0000322","storage vacuole"
"233","GO:0000323","lytic vacuole"
"234","GO:0000324","fungal-type vacuole"
"235","GO:0000325","plant-type vacuole"
"236","GO:0000326","protein storage vacuole"
"237","GO:0000327","lytic vacuole within protein storage vacuole"
"238","GO:0000328","fungal-type vacuole lumen"
"239","GO:0000329","fungal-type vacuole membrane"
"240","GO:0000330","plant-type vacuole lumen"
"241","GO:0000331","contractile vacuole"
"242","GO:0000332","template for synthesis of G-rich strand of telomere DNA activity"
"243","GO:0000333","telomerase catalytic core complex"
"244","GO:0000334","3-hydroxyanthranilate 3,4-dioxygenase activity"
"245","GO:0000335","negative regulation of transposition, DNA-mediated"
"246","GO:0000336","positive regulation of transposition, DNA-mediated"
"247","GO:0000337","regulation of transposition, DNA-mediated"
"248","GO:0000338","protein deneddylation"
"249","GO:0000339","RNA cap binding"
"250","GO:0000340","RNA 7-methylguanosine cap binding"
"251","GO:0000341","RNA trimethylguanosine cap binding"
"252","GO:0000342","RNA cap 4 binding"
"253","GO:0000343","plastid-encoded plastid RNA polymerase complex A"
"254","GO:0000344","plastid-encoded plastid RNA polymerase complex B"
"255","GO:0000345","cytosolic DNA-directed RNA polymerase complex"
"256","GO:0000346","transcription export complex"
"257","GO:0000347","THO complex"
"258","GO:0000348","mRNA branch site recognition"
"259","GO:0000349","generation of catalytic spliceosome for first transesterification step"
"260","GO:0000350","generation of catalytic spliceosome for second transesterification step"
"261","GO:0000352","trans assembly of SL-containing precatalytic spliceosome"
"262","GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP"
"263","GO:0000354","cis assembly of pre-catalytic spliceosome"
"264","GO:0000365","mRNA trans splicing, via spliceosome"
"265","GO:0000366","intergenic mRNA trans splicing"
"266","GO:0000372","Group I intron splicing"
"267","GO:0000373","Group II intron splicing"
"268","GO:0000374","Group III intron splicing"
"269","GO:0000375","RNA splicing, via transesterification reactions"
"270","GO:0000376","RNA splicing, via transesterification reactions with guanosine as nucleophile"
"271","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"
"272","GO:0000378","RNA exon ligation"
"273","GO:0000379","tRNA-type intron splice site recognition and cleavage"
"274","GO:0000380","alternative mRNA splicing, via spliceosome"
"275","GO:0000381","regulation of alternative mRNA splicing, via spliceosome"
"276","GO:0000384","first spliceosomal transesterification activity"
"277","GO:0000386","second spliceosomal transesterification activity"
"278","GO:0000387","spliceosomal snRNP assembly"
"279","GO:0000388","spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)"
"280","GO:0000389","mRNA 3'-splice site recognition"
"281","GO:0000390","spliceosomal complex disassembly"
"282","GO:0000393","spliceosomal conformational changes to generate catalytic conformation"
"283","GO:0000394","RNA splicing, via endonucleolytic cleavage and ligation"
"284","GO:0000395","mRNA 5'-splice site recognition"
"285","GO:0000398","mRNA splicing, via spliceosome"
"286","GO:0000399","cellular bud neck septin structure"
"287","GO:0000400","four-way junction DNA binding"
"288","GO:0000401","open form four-way junction DNA binding"
"289","GO:0000402","crossed form four-way junction DNA binding"
"290","GO:0000403","Y-form DNA binding"
"291","GO:0000404","heteroduplex DNA loop binding"
"292","GO:0000405","bubble DNA binding"
"293","GO:0000406","double-strand/single-strand DNA junction binding"
"294","GO:0000407","phagophore assembly site"
"295","GO:0000408","EKC/KEOPS complex"
"296","GO:0000409","regulation of transcription by galactose"
"297","GO:0000410","carbon catabolite repression of transcription by galactose"
"298","GO:0000411","positive regulation of transcription by galactose"
"299","GO:0000412","histone peptidyl-prolyl isomerization"
"300","GO:0000413","protein peptidyl-prolyl isomerization"
"301","GO:0000414","regulation of histone H3-K36 methylation"
"302","GO:0000415","negative regulation of histone H3-K36 methylation"
"303","GO:0000416","positive regulation of histone H3-K36 methylation"
"304","GO:0000417","HIR complex"
"305","GO:0000418","RNA polymerase IV complex"
"306","GO:0000419","RNA polymerase V complex"
"307","GO:0000421","autophagosome membrane"
"308","GO:0000422","autophagy of mitochondrion"
"309","GO:0000423","mitophagy"
"310","GO:0000424","micromitophagy"
"311","GO:0000425","pexophagy"
"312","GO:0000426","micropexophagy"
"313","GO:0000427","plastid-encoded plastid RNA polymerase complex"
"314","GO:0000428","DNA-directed RNA polymerase complex"
"315","GO:0000429","carbon catabolite regulation of transcription from RNA polymerase II promoter"
"316","GO:0000430","regulation of transcription from RNA polymerase II promoter by glucose"
"317","GO:0000431","regulation of transcription from RNA polymerase II promoter by galactose"
"318","GO:0000432","positive regulation of transcription from RNA polymerase II promoter by glucose"
"319","GO:0000433","carbon catabolite repression of transcription from RNA polymerase II promoter by glucose"
"320","GO:0000434","carbon catabolite repression of transcription from RNA polymerase II promoter by galactose"
"321","GO:0000435","positive regulation of transcription from RNA polymerase II promoter by galactose"
"322","GO:0000436","carbon catabolite activation of transcription from RNA polymerase II promoter"
"323","GO:0000437","carbon catabolite repression of transcription from RNA polymerase II promoter"
"324","GO:0000438","core TFIIH complex portion of holo TFIIH complex"
"325","GO:0000439","transcription factor TFIIH core complex"
"326","GO:0000440","core TFIIH complex portion of NEF3 complex"
"327","GO:0000444","MIS12/MIND type complex"
"328","GO:0000445","THO complex part of transcription export complex"
"329","GO:0000446","nucleoplasmic THO complex"
"330","GO:0000447","endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"331","GO:0000448","cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"332","GO:0000449","endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)"
"333","GO:0000450","cleavage of bicistronic rRNA transcript (SSU-rRNA, LSU-rRNA)"
"334","GO:0000451","rRNA 2'-O-methylation"
"335","GO:0000452","snoRNA guided rRNA 2'-O-methylation"
"336","GO:0000453","enzyme-directed rRNA 2'-O-methylation"
"337","GO:0000454","snoRNA guided rRNA pseudouridine synthesis"
"338","GO:0000455","enzyme-directed rRNA pseudouridine synthesis"
"339","GO:0000457","endonucleolytic cleavage between SSU-rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)"
"340","GO:0000458","endonucleolytic cleavage between LSU-rRNA and 5S rRNA of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)"
"341","GO:0000459","exonucleolytic trimming involved in rRNA processing"
"342","GO:0000460","maturation of 5.8S rRNA"
"343","GO:0000461","endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"344","GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"345","GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"346","GO:0000464","endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"347","GO:0000465","exonucleolytic trimming to generate mature 5'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"348","GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"349","GO:0000467","exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"350","GO:0000468","generation of mature 3'-end of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"351","GO:0000469","cleavage involved in rRNA processing"
"352","GO:0000470","maturation of LSU-rRNA"
"353","GO:0000471","endonucleolytic cleavage in 3'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"354","GO:0000472","endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"355","GO:0000473","maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)"
"356","GO:0000474","maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)"
"357","GO:0000475","maturation of 2S rRNA"
"358","GO:0000476","maturation of 4.5S rRNA"
"359","GO:0000477","generation of mature 5'-end of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"360","GO:0000478","endonucleolytic cleavage involved in rRNA processing"
"361","GO:0000479","endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"362","GO:0000480","endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"363","GO:0000481","maturation of 5S rRNA"
"364","GO:0000482","maturation of 5S rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"365","GO:0000483","endonucleolytic cleavage of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)"
"366","GO:0000484","cleavage between SSU-rRNA and 5.8S rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)"
"367","GO:0000485","cleavage between 2S rRNA and LSU-rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)"
"368","GO:0000486","cleavage between 5.8S rRNA and 2S rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)"
"369","GO:0000487","maturation of 5.8S rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)"
"370","GO:0000488","maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)"
"371","GO:0000489","maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)"
"372","GO:0000491","small nucleolar ribonucleoprotein complex assembly"
"373","GO:0000492","box C/D snoRNP assembly"
"374","GO:0000493","box H/ACA snoRNP assembly"
"375","GO:0000494","box C/D snoRNA 3'-end processing"
"376","GO:0000495","box H/ACA snoRNA 3'-end processing"
"377","GO:0000497","DNA template activity"
"378","GO:0000500","RNA polymerase I upstream activating factor complex"
"379","GO:0000502","proteasome complex"
"380","GO:0000506","glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex"
"381","GO:0000578","embryonic axis specification"
"382","GO:0000700","mismatch base pair DNA N-glycosylase activity"
"383","GO:0000701","purine-specific mismatch base pair DNA N-glycosylase activity"
"384","GO:0000702","oxidized base lesion DNA N-glycosylase activity"
"385","GO:0000703","oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity"
"386","GO:0000704","pyrimidine dimer DNA N-glycosylase activity"
"387","GO:0000705","achiasmate meiosis I"
"388","GO:0000706","meiotic DNA double-strand break processing"
"389","GO:0000707","meiotic DNA recombinase assembly"
"390","GO:0000708","meiotic strand invasion"
"391","GO:0000709","meiotic joint molecule formation"
"392","GO:0000710","meiotic mismatch repair"
"393","GO:0000711","meiotic DNA repair synthesis"
"394","GO:0000712","resolution of meiotic recombination intermediates"
"395","GO:0000713","meiotic heteroduplex formation"
"396","GO:0000714","meiotic strand displacement"
"397","GO:0000715","nucleotide-excision repair, DNA damage recognition"
"398","GO:0000716","transcription-coupled nucleotide-excision repair, DNA damage recognition"
"399","GO:0000717","nucleotide-excision repair, DNA duplex unwinding"
"400","GO:0000718","nucleotide-excision repair, DNA damage removal"
"401","GO:0000719","photoreactive repair"
"402","GO:0000720","pyrimidine dimer repair by nucleotide-excision repair"
"403","GO:0000721","(R,R)-butanediol dehydrogenase activity"
"404","GO:0000722","telomere maintenance via recombination"
"405","GO:0000723","telomere maintenance"
"406","GO:0000724","double-strand break repair via homologous recombination"
"407","GO:0000725","recombinational repair"
"408","GO:0000726","non-recombinational repair"
"409","GO:0000727","double-strand break repair via break-induced replication"
"410","GO:0000728","gene conversion at mating-type locus, DNA double-strand break formation"
"411","GO:0000729","DNA double-strand break processing"
"412","GO:0000730","DNA recombinase assembly"
"413","GO:0000731","DNA synthesis involved in DNA repair"
"414","GO:0000732","strand displacement"
"415","GO:0000733","DNA strand renaturation"
"416","GO:0000734","gene conversion at mating-type locus, DNA repair synthesis"
"417","GO:0000735","removal of nonhomologous ends"
"418","GO:0000736","double-strand break repair via single-strand annealing, removal of nonhomologous ends"
"419","GO:0000737","DNA catabolic process, endonucleolytic"
"420","GO:0000738","DNA catabolic process, exonucleolytic"
"421","GO:0000740","nuclear membrane fusion"
"422","GO:0000741","karyogamy"
"423","GO:0000742","karyogamy involved in conjugation with cellular fusion"
"424","GO:0000743","nuclear migration involved in conjugation with cellular fusion"
"425","GO:0000744","karyogamy involved in conjugation with mutual genetic exchange"
"426","GO:0000745","nuclear migration involved in conjugation with mutual genetic exchange"
"427","GO:0000746","conjugation"
"428","GO:0000747","conjugation with cellular fusion"
"429","GO:0000748","conjugation with mutual genetic exchange"
"430","GO:0000749","response to pheromone triggering conjugation with cellular fusion"
"431","GO:0000750","pheromone-dependent signal transduction involved in conjugation with cellular fusion"
"432","GO:0000751","mitotic cell cycle G1 arrest in response to pheromone"
"433","GO:0000752","agglutination involved in conjugation with cellular fusion"
"434","GO:0000753","cell morphogenesis involved in conjugation with cellular fusion"
"435","GO:0000754","adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion"
"436","GO:0000755","cytogamy"
"437","GO:0000756","response to pheromone regulating conjugation with mutual genetic exchange"
"438","GO:0000758","agglutination involved in conjugation with mutual genetic exchange"
"439","GO:0000759","cell morphogenesis involved in conjugation with mutual genetic exchange"
"440","GO:0000760","adaptation to pheromone regulating conjugation with mutual genetic exchange"
"441","GO:0000761","conjugant formation"
"442","GO:0000762","pheromone-induced unidirectional conjugation"
"443","GO:0000765","response to pheromone regulating pheromone-induced unidirectional conjugation"
"444","GO:0000766","negative adaptation of signaling pathway by response to pheromone involved in pheromone-induced unidirectional conjugation"
"445","GO:0000767","cell morphogenesis involved in conjugation"
"446","GO:0000768","syncytium formation by plasma membrane fusion"
"447","GO:0000769","syncytium formation by mitosis without cytokinesis"
"448","GO:0000770","peptide pheromone export"
"449","GO:0000771","agglutination involved in conjugation"
"450","GO:0000772","mating pheromone activity"
"451","GO:0000773","phosphatidyl-N-methylethanolamine N-methyltransferase activity"
"452","GO:0000774","adenyl-nucleotide exchange factor activity"
"453","GO:0000775","chromosome, centromeric region"
"454","GO:0000776","kinetochore"
"455","GO:0000777","condensed chromosome kinetochore"
"456","GO:0000778","condensed nuclear chromosome kinetochore"
"457","GO:0000779","condensed chromosome, centromeric region"
"458","GO:0000780","condensed nuclear chromosome, centromeric region"
"459","GO:0000781","chromosome, telomeric region"
"460","GO:0000782","telomere cap complex"
"461","GO:0000783","nuclear telomere cap complex"
"462","GO:0000784","nuclear chromosome, telomeric region"
"463","GO:0000785","chromatin"
"464","GO:0000786","nucleosome"
"465","GO:0000787","cytoplasmic nucleosome"
"466","GO:0000788","nuclear nucleosome"
"467","GO:0000789","cytoplasmic chromatin"
"468","GO:0000790","nuclear chromatin"
"469","GO:0000791","euchromatin"
"470","GO:0000792","heterochromatin"
"471","GO:0000793","condensed chromosome"
"472","GO:0000794","condensed nuclear chromosome"
"473","GO:0000795","synaptonemal complex"
"474","GO:0000796","condensin complex"
"475","GO:0000797","condensin core heterodimer"
"476","GO:0000798","nuclear cohesin complex"
"477","GO:0000799","nuclear condensin complex"
"478","GO:0000800","lateral element"
"479","GO:0000801","central element"
"480","GO:0000802","transverse filament"
"481","GO:0000803","sex chromosome"
"482","GO:0000804","W chromosome"
"483","GO:0000805","X chromosome"
