"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"2-Ketoglutaric acid","Oxoglutaric acid","HMDB0000208","51","30915","C00026","5218","OC(=O)CCC(=O)C(O)=O","1"
"Glutamic acid","L-Glutamic acid","HMDB0000148","33032","16015","C00025","5174","N[C@@H](CCC(O)=O)C(O)=O","1"
"Triethanolamine","Triethanolamine","HMDB0032538","7618","28621","C06771",NA,"OCCN(CCO)CCO","1"
"5-Aminovaleric acid","5-Aminopentanoic acid","HMDB0003355","138","15887","C00431","6902","NCCCCC(=O)O","1"
"Phenylalanine","L-Phenylalanine","HMDB0000159","6140","17295","C00079","28","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"Lauric acid","Dodecanoic acid","HMDB0000638","3893","30805","C02679","5611","CCCCCCCCCCCC(=O)O","1"
"1,6-Anhydroglucose","Levoglucosan","HMDB0000640","2724705","30997",NA,"5613","[H][C@@]12OC[C@@H](O1)[C@@H](O)[C@H](O)[C@H]2O","1"
"Putrescine","Putrescine","HMDB0001414","1045","17148","C00134","3226","NCCCCN","1"
"2-Deoxy-glucose","2-Deoxy-glucose",NA,"439268",NA,NA,NA,NA,"1"
"Glycyl-Glycine","Glycyl-glycine","HMDB0011733","11163","17201","C02037",NA,"NCC(=O)NCC(O)=O","1"
"Citric acid","Citric acid","HMDB0000094","311","30769","C00158","124","OC(=O)CC(O)(CC(O)=O)C(O)=O","1"
"Ornithine","Ornithine","HMDB0000214","6262","15729","C00077","27","NCCC[C@H](N)C(O)=O","1"
"Cadaverine","Cadaverine","HMDB0002322","273","18127","C01672","3236","NCCCCCN","1"
"Psicose","Psicose",NA,"90008",NA,NA,NA,NA,"1"
"Tagatose","D-Fructose","HMDB0000660","439709","28645","C02336","135","OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O","1"
"Sorbose","Sorbose",NA,"6904",NA,NA,NA,NA,"1"
"Fructose","D-Fructose","HMDB0000660","439709","28645","C02336","135","OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O","1"
"Myristic acid","Myristic acid","HMDB0000806","11005","28875","C06424","196","CCCCCCCCCCCCCC(=O)O","1"
"Mannose","D-Mannose","HMDB0000169","18950","4208","C00936",NA,"OC[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O","1"
"Galactose","D-Galactose","HMDB0000143","439357","28061","C00984","134","OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O","1"
"Glucose","D-Glucose","HMDB0000122","5793","4167","C00221","133","OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"Allose","Allose","HMDB0001151","12285879","37741","C01487","348","[H][C@@]1(CO)OC(O)[C@@]([H])(O)[C@@]([H])(O)[C@@]1([H])O","1"
"Mannitol","Mannitol","HMDB0000765","6251","16899","C00392","142","OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO","1"
"Sorbitol","Sorbitol","HMDB0000247","5780","17924","C00794","143","OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO","1"
"Lysine","L-Lysine","HMDB0000182","5962","18019","C00047","5200","NCCCC[C@H](N)C(O)=O","1"
"Tyrosine","L-Tyrosine","HMDB0000158","6057","17895","C00082","34","N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"1-Hexadecanol","1-Hexadecanol","HMDB0003424","2682","16125","C00823","6927","CCCCCCCCCCCCCCCCO","1"
"Palmitoleic acid","Palmitoleic acid","HMDB0003229","5312427","28716","C08362","188","CCCCCC/C=C\CCCCCCCC(=O)O","1"
"Palmitic acid","Palmitic acid","HMDB0000220","985","15756","C00249","187","CCCCCCCCCCCCCCCC(=O)O","1"
"Margaric acid","Heptadecanoic acid","HMDB0002259","10465","32365",NA,"6578","CCCCCCCCCCCCCCCCC(=O)O","1"
"Octadecanol","Octadecanol","HMDB0002350","8221","32154","D01924","6640","CCCCCCCCCCCCCCCCCCO","1"
"Linoleic acid","Linoleic acid","HMDB0000673","5280450","17351","C01595","191","CCCCC/C=C\C/C=C\CCCCCCCC(=O)O","1"
"Oleic acid","Oleic acid","HMDB0000207","445639","16196","C00712","190","CCCCCCCC/C=C\CCCCCCCC(=O)O","1"
"Elaidic acid","Elaidic acid","HMDB0000573","637517","27997","C01712","3406","CCCCCCCC/C=C\CCCCCCCC(=O)O","1"
"Stearic acid","Stearic acid","HMDB0000827","5281","28842","C01530","189","CCCCCCCCCCCCCCCCCC(=O)O","1"
"Oleamide","Oleamide","HMDB0002117","5283387","116314","C19670",NA,"CCCCCCCC/C=C\CCCCCCCC(=O)N","1"
"Sucrose","Sucrose","HMDB0000258","5988","17992","C00089","137","OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O","1"
"Docosapentaenoic acid","Docosapentaenoic acid","HMDB0006528","5497182","53488","C16513","194","CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O","1"
