"","Class.L3","Class.L1"
"469","Defensome_HSP","Defensome"
"473","Cytoskeleton_Actin_Related","Cytoskeleton"
"476","GTPase_Translational_Initiation","GTPase"
"517","Kinase_CK1","Kinase"
"531","Adhesion_ECMOther","Adhesion"
"627","Adhesion_ECMLaminin","Adhesion"
"641","GTPase_Ras_Ras","GTPase"
"670","Defensome_MetalDetoxification","Defensome"
"677","Adhesion_ECMNeural","Adhesion"
"685","Apoptosis_Bcl2","Apoptosis"
"707","Immunity_EffectorOther","Immunity"
"724","Biomineralization_MSP130","Biomineralization"
"771","Kinase_STE","Kinase"
"861","Signaling_Notch","Signaling"
"910","TF_Sox/HMG","TF"
"917","Signaling_TGFB_Modulator","Signaling"
"986","Nervous_Placode","Nervous"
"1013","TF_Ets","TF"
"1069","Cytoskeleton_Kinesin","Cytoskeleton"
"1070","GTPase_Dynamin_Classical","GTPase"
"1128","GermLineDeterminant","GermLineDeterminant"
"1135","Cytoskeleton_Dynein","Cytoskeleton"
"1156","GTPase_Translational_Release","GTPase"
"1159","GTPase_Ras_Other","GTPase"
"1172","Apoptosis_Apaf1","Apoptosis"
"1174","Immunity_VDJ","Immunity"
"1190","Immunity_Coagulation_Clotting","Immunity"
"1206","GPCRRhodopsin_Opsin","GPCRRhodopsin"
"1222","GTPase_Ras_Rho","GTPase"
"1229","Cytoskeleton_Regulator","Cytoskeleton"
"1351","GTPase_Galpha","GTPase"
"1485","Kinase_RGC","Kinase"
"1567","Cytoskeleton_IntermediateFilament","Cytoskeleton"
"2082","TF_Tbox","TF"
"2219","Histone_RepcationDepedent_Sperm","Histone"
"2337","GTPase_Dynamin_Related","GTPase"
"2517","Apoptosis_TNF/TNFR","Apoptosis"
"2668","Biomineralization_CarbonicAnhydrase","Biomineralization"
"3191","Cytoskeleton_Actin_Actin","Cytoskeleton"
"3291","GTPase_RhoRegulator_RhoGEFCZH","GTPase"
"4026","Immunity_Misc_Response","Immunity"
"4307","Immunity_Misc_Misc","Immunity"
"4769","GTPase_SRP_GTPase","GTPase"
"6205","Biomineralization_Other","Biomineralization"
"7808","GTPase_Ras_Ran","GTPase"
"8581","GTPase_RhoRegulator_RhoGDI","GTPase"
